algorithm,policy,featexp,value,time,s,n
an,0.6,0.517785,0.22119,0.029218,10,15
an,0.502222,0.505372,0.115731,0.028457,30,15
an,0.555556,0.477723,0.520039,0.029388,50,15
an,0.537778,0.503016,0.139996,0.02949,70,15
algorithm5,0.457778,0.110547,0.931601,0.020863,10,15
algorithm5,0.422222,0.149108,0.904747,0.021615,30,15
algorithm5,0.337778,0.16456,0.945473,0.022125,50,15
algorithm5,0.32,0.142258,0.957904,0.022216,70,15
gpirl,0.337778,0.084296,0.96075,7.659054,10,15
gpirl,0.28,0.027136,0.985638,12.275735,30,15
gpirl,0.213333,0.033936,0.990356,15.962348,50,15
gpirl,0.191111,0.021894,0.992329,21.099496,70,15
an,0.617778,0.336455,0.744741,0.034906,10,15
an,0.591111,0.53033,0.130188,0.028898,30,15
an,0.591111,0.530566,0.132068,0.029332,50,15
an,0.617778,0.391739,0.397635,0.028891,70,15
algorithm5,0.524444,0.203263,0.892606,0.021395,10,15
algorithm5,0.524444,0.192358,0.868269,0.022185,30,15
algorithm5,0.528889,0.184746,0.877313,0.022066,50,15
algorithm5,0.457778,0.198413,0.896282,0.022637,70,15
gpirl,0.488889,0.171109,0.916426,8.503762,10,15
gpirl,0.386667,0.061346,0.976881,12.924224,30,15
gpirl,0.315556,0.046402,0.985581,16.268211,50,15
gpirl,0.297778,0.05095,0.985936,20.375179,70,15
an,0.551111,0.366331,0.468689,0.02801,10,15
an,0.448889,0.497592,0.189327,0.029106,30,15
an,0.56,0.422612,0.273819,0.028965,50,15
an,0.462222,0.520987,0.166033,0.029287,70,15
algorithm5,0.431111,0.175378,0.937801,0.020962,10,15
algorithm5,0.4,0.193537,0.918826,0.021479,30,15
algorithm5,0.377778,0.202827,0.921481,0.021958,50,15
algorithm5,0.368889,0.229389,0.91841,0.022402,70,15
gpirl,0.453333,0.18327,0.930296,7.89971,10,15
gpirl,0.248889,0.064956,0.985815,14.120436,30,15
gpirl,0.195556,0.057537,0.988828,15.344467,50,15
gpirl,0.186667,0.057565,0.988081,19.33326,70,15
an,0.595556,0.338781,0.670646,0.028583,10,15
an,0.52,0.55217,0.184795,0.029372,30,15
an,0.546667,0.554156,0.177428,0.029755,50,15
an,0.502222,0.553268,0.179051,0.030353,70,15
algorithm5,0.52,0.341844,0.744531,0.021506,10,15
algorithm5,0.426667,0.199256,0.882738,0.021779,30,15
algorithm5,0.306667,0.135261,0.959626,0.021956,50,15
algorithm5,0.364444,0.145758,0.934407,0.022302,70,15
gpirl,0.488889,0.120105,0.940348,7.978615,10,15
gpirl,0.382222,0.125741,0.956748,8.440756,30,15
gpirl,0.253333,0.054891,0.976771,12.460562,50,15
gpirl,0.204444,0.038039,0.986014,19.060235,70,15
an,0.622222,0.384088,0.720927,0.02954,10,15
an,0.604444,0.520885,0.122397,0.029215,30,15
an,0.511111,0.268756,0.797428,0.028848,50,15
an,0.608889,0.521602,0.117765,0.029797,70,15
algorithm5,0.422222,0.199513,0.940633,0.026328,10,15
algorithm5,0.44,0.177783,0.957691,0.02128,30,15
algorithm5,0.373333,0.162561,0.961709,0.021882,50,15
