algorithm,reward,iteration,value,time
algorithm_lsp,6,25,8.787883,9.838357
algorithm_lsp,6,26,8.761792,10.235923
algorithm_lsp,6,27,8.760387,10.633864
algorithm_lsp,6,28,8.709891,11.032741
algorithm_lsp,6,29,9.758752,11.523978
algorithm_lsp,6,30,9.948237,11.929721
algorithm_lsp,6,31,9.894268,12.330911
algorithm_ksp,6,1,0.000000,0.000000
algorithm_ksp,6,2,9.970933,9.068211
algorithm_ksp,6,3,9.989465,18.055978
algorithm_ksp,6,4,9.938919,26.999509
algorithm_ksp,6,5,9.944258,35.805281
algorithm_ksp,6,6,9.993958,44.670104
algorithm_ksp,6,7,9.993384,53.543680
algorithm_ksp,6,8,9.979049,62.569944
algorithm_ksp,6,9,10.002056,71.463308
algorithm_ksp,6,10,9.956499,80.395281
algorithm_ksp,6,11,9.921027,89.370831
algorithm_ksp,6,12,9.957207,98.306661
algorithm_ksp,6,13,9.968322,107.268824
algorithm_ksp,6,14,9.994565,116.219381
algorithm_ksp,6,15,9.928426,125.146619
algorithm_ksp,6,16,9.977031,134.027269
algorithm_ksp,6,17,9.979089,142.939262
algorithm_ksp,6,18,9.961966,151.812036
algorithm_ksp,6,19,9.956989,160.763267
algorithm_ksp,6,20,9.990018,169.717708
algorithm_ksp,6,21,9.981857,178.676347
algorithm_ksp,6,22,9.984082,187.615117
algorithm_ksp,6,23,9.935970,196.561583
algorithm_ksp,6,24,9.936737,205.410383
algorithm_ksp,6,25,9.903091,214.289598
algorithm_ksp,6,26,9.977976,223.216888
algorithm_ksp,6,27,9.966538,232.126861
algorithm_ksp,6,28,10.002056,241.065476
algorithm_ksp,6,29,9.935611,249.973128
algorithm_ksp,6,30,9.904433,258.906522
algorithm_ksp,6,31,9.938509,267.774376
algorithm_13k,7,1,0.000000,0.000000
algorithm_13k,7,2,3.190165,0.319363
algorithm_13k,7,3,3.591689,0.630545
algorithm_13k,7,4,3.886441,1.029143
algorithm_13k,7,5,3.734938,1.431627
algorithm_13k,7,6,3.849703,1.791757
algorithm_13k,7,7,4.073627,2.154389
algorithm_13k,7,8,4.139387,2.523006
algorithm_13k,7,9,4.520345,2.915084
algorithm_13k,7,10,4.397694,3.320949
algorithm_13k,7,11,3.776751,3.800163
algorithm_13k,7,12,3.979971,4.283673
algorithm_13k,7,13,4.316372,4.783804
algorithm_13k,7,14,4.229264,5.316177
algorithm_13k,7,15,4.050231,5.869753
algorithm_13k,7,16,4.351828,6.441436
algorithm_13k,7,17,3.913609,7.027162
algorithm_13k,7,18,4.025750,7.619164
algorithm_13k,7,19,4.398162,8.155903
algorithm_13k,7,20,4.059432,8.748562
algorithm_13k,7,21,4.174108,9.491420
algorithm_13k,7,22,4.161977,10.066747
algorithm_13k,7,23,4.103469,10.723922
algorithm_13k,7,24,4.183282,11.351887
algorithm_13k,7,25,4.526245,11.992325
algorithm_13k,7,26,4.100725,12.641749
algorithm_13k,7,27,4.575056,13.311317
algorithm_13k,7,28,4.515066,13.983935
algorithm_13k,7,29,4.482892,14.675179
algorithm_13k,7,30,4.500516,15.377581
algorithm_13k,7,31,4.790518,16.096739
algorithm_lsp,7,1,0.000000,0.000000
algorithm_lsp,7,2,3.166707,0.656236
algorithm_lsp,7,3,3.153923,1.063424
algorithm_lsp,7,4,3.160608,1.454711
algorithm_lsp,7,5,3.601146,1.855192
algorithm_lsp,7,6,3.590825,2.248270
algorithm_lsp,7,7,3.621237,2.647467
algorithm_lsp,7,8,3.825118,3.041743
algorithm_lsp,7,9,3.830700,3.438171
algorithm_lsp,7,10,3.846701,3.836842
algorithm_lsp,7,11,3.812774,4.245584
algorithm_lsp,7,12,3.812898,4.644274
algorithm_lsp,7,13,3.774324,5.041919
algorithm_lsp,7,14,3.583480,5.431992
algorithm_lsp,7,15,3.615857,5.834668
algorithm_lsp,7,16,3.550712,6.228363
algorithm_lsp,7,17,3.526322,6.625116
