algorithm,reward,iteration,value,time
algorithm_13kx,2,99,-13.002082,67.673454
algorithm_13kx,2,100,-13.288650,68.765004
algorithm_13kx,2,101,-12.772943,69.842746
algorithm_13ks,3,1,0.000000,0.000000
algorithm_13ks,3,2,4.688991,0.167681
algorithm_13ks,3,3,2.714589,0.358579
algorithm_13ks,3,4,2.709853,0.552620
algorithm_13ks,3,5,2.940410,0.746741
algorithm_13ks,3,6,3.920644,1.042824
algorithm_13ks,3,7,3.868435,1.269168
algorithm_13ks,3,8,2.708701,1.489676
algorithm_13ks,3,9,3.141347,1.723605
algorithm_13ks,3,10,2.793667,1.959584
algorithm_13ks,3,11,3.006608,2.211255
algorithm_13ks,3,12,2.770846,2.464737
algorithm_13ks,3,13,2.909231,2.746659
algorithm_13ks,3,14,6.473175,3.022370
algorithm_13ks,3,15,6.438232,3.307179
algorithm_13ks,3,16,7.026456,3.631794
algorithm_13ks,3,17,6.391807,3.923222
algorithm_13ks,3,18,3.097226,4.222427
algorithm_13ks,3,19,3.428712,4.528254
algorithm_13ks,3,20,3.289280,4.881567
algorithm_13ks,3,21,6.266051,5.261082
algorithm_13ks,3,22,2.907086,5.686224
algorithm_13ks,3,23,5.407957,6.123426
algorithm_13ks,3,24,3.304875,6.848838
algorithm_13ks,3,25,4.036726,7.346537
algorithm_13ks,3,26,6.665775,7.808350
algorithm_13ks,3,27,5.834712,8.313247
algorithm_13ks,3,28,2.450980,8.793756
algorithm_13ks,3,29,6.826563,9.331446
algorithm_13ks,3,30,3.858266,9.825373
algorithm_13ks,3,31,3.083602,10.321013
algorithm_lsp,3,1,0.000000,0.000000
algorithm_lsp,3,2,3.721909,0.348976
algorithm_lsp,3,3,3.570383,0.625903
algorithm_lsp,3,4,3.618138,0.915967
algorithm_lsp,3,5,2.694342,1.157651
algorithm_lsp,3,6,3.002383,1.394333
algorithm_lsp,3,7,2.678906,1.635970
algorithm_lsp,3,8,2.724305,1.876858
algorithm_lsp,3,9,2.784759,2.115644
algorithm_lsp,3,10,2.505888,2.354722
algorithm_lsp,3,11,4.555647,2.591858
algorithm_lsp,3,12,4.578048,2.831660
algorithm_lsp,3,13,4.704022,3.071116
algorithm_lsp,3,14,2.785052,3.318015
algorithm_lsp,3,15,2.722624,3.555635
algorithm_lsp,3,16,2.769182,3.795723
algorithm_lsp,3,17,2.271824,4.038831
algorithm_lsp,3,18,2.395214,4.278048
algorithm_lsp,3,19,2.046356,4.515894
algorithm_lsp,3,20,3.230839,4.752671
algorithm_lsp,3,21,3.200222,4.993068
algorithm_lsp,3,22,3.237745,5.231447
algorithm_lsp,3,23,2.732200,5.478846
algorithm_lsp,3,24,2.721435,5.719284
algorithm_lsp,3,25,2.667242,5.965856
algorithm_lsp,3,26,6.035740,6.206052
algorithm_lsp,3,27,6.071579,6.450549
algorithm_lsp,3,28,6.175636,6.694969
algorithm_lsp,3,29,2.679902,6.933433
algorithm_lsp,3,30,2.492313,7.172860
algorithm_lsp,3,31,2.490794,7.411333
algorithm_ksp,3,1,0.000000,0.000000
algorithm_ksp,3,2,2.421698,5.892090
algorithm_ksp,3,3,2.508406,11.910057
algorithm_ksp,3,4,2.454412,17.770104
algorithm_ksp,3,5,2.537117,23.642268
algorithm_ksp,3,6,2.421698,29.509207
algorithm_ksp,3,7,2.466697,35.388089
algorithm_ksp,3,8,2.489510,41.248155
algorithm_ksp,3,9,2.532979,47.102885
algorithm_ksp,3,10,2.558813,52.986743
algorithm_ksp,3,11,2.484132,58.846878
algorithm_ksp,3,12,2.519599,64.787274
algorithm_ksp,3,13,2.508233,70.646215
algorithm_ksp,3,14,2.556564,76.496591
algorithm_ksp,3,15,2.596215,82.431651
algorithm_ksp,3,16,2.612155,88.301681
algorithm_ksp,3,17,2.522548,94.233735
algorithm_ksp,3,18,2.618176,100.084274
algorithm_ksp,3,19,2.625766,105.938787
algorithm_ksp,3,20,2.585496,111.800014
algorithm_ksp,3,21,2.509377,117.676420
algorithm_ksp,3,22,2.446154,123.553445
algorithm_ksp,3,23,2.473471,129.426146
algorithm_ksp,3,24,2.472387,135.298020
algorithm_ksp,3,25,2.481096,141.147279
algorithm_ksp,3,26,2.499121,147.010847
algorithm_ksp,3,27,2.550376,152.877655
algorithm_ksp,3,28,2.578813,158.730243
algorithm_ksp,3,29,2.599970,164.588098
algorithm_ksp,3,30,2.545005,170.447187
algorithm_ksp,3,31,2.489309,176.301775
algorithm_13kx,3,1,0.000000,0.000000
algorithm_13kx,3,2,5.475143,0.145042
algorithm_13kx,3,3,2.977556,0.640845
algorithm_13kx,3,4,4.642751,0.853813
algorithm_13kx,3,5,4.503491,1.039822
algorithm_13kx,3,6,5.519127,1.238548
algorithm_13kx,3,7,3.133871,1.445038
algorithm_13kx,3,8,6.357224,1.682956
algorithm_13kx,3,9,5.093451,1.907384
algorithm_13kx,3,10,5.216918,2.186385
algorithm_13kx,3,11,6.294997,2.418101
algorithm_13kx,3,12,3.158217,2.650359
algorithm_13kx,3,13,5.440849,2.892816
algorithm_13kx,3,14,5.426489,3.143988
algorithm_13kx,3,15,6.488622,3.398178
algorithm_13kx,3,16,6.632403,3.673252
algorithm_13kx,3,17,6.737470,3.949995
algorithm_13kx,3,18,6.590810,4.235431
algorithm_13kx,3,19,5.149124,4.570349
algorithm_13kx,3,20,5.196701,4.885384
algorithm_13kx,3,21,6.729708,5.236492
algorithm_13kx,3,22,6.655840,5.557475
algorithm_13kx,3,23,5.081255,5.955931
algorithm_13kx,3,24,5.062607,6.381777
algorithm_13kx,3,25,6.722916,6.824477
algorithm_13kx,3,26,3.338181,7.256282
algorithm_13kx,3,27,3.425706,7.737005
algorithm_13kx,3,28,3.675899,8.215122
algorithm_13kx,3,29,3.746253,8.667071
algorithm_13kx,3,30,3.617857,9.126401
algorithm_13kx,3,31,5.588571,9.578690
algorithm_13kx,3,32,5.660669,10.090951
algorithm_13kx,3,33,5.639962,10.571722
algorithm_13kx,3,34,2.760984,11.098988
algorithm_13kx,3,35,5.223687,11.582178
algorithm_13kx,3,36,7.144008,12.350257
algorithm_13kx,3,37,5.535462,12.870286
algorithm_13kx,3,38,5.651118,13.402654
algorithm_13kx,3,39,5.664432,13.952862
algorithm_13kx,3,40,5.493351,14.504432
algorithm_13kx,3,41,6.936877,15.141737
algorithm_13kx,3,42,7.038416,15.737149
algorithm_13kx,3,43,7.077409,16.312881
algorithm_13kx,3,44,6.953575,16.891636
algorithm_13kx,3,45,6.934107,17.497626
algorithm_13kx,3,46,6.964391,18.156126
algorithm_13kx,3,47,7.005807,18.797279
algorithm_13kx,3,48,3.459371,19.393781
algorithm_13kx,3,49,6.900290,20.022933
algorithm_13kx,3,50,3.131941,20.638850
algorithm_13kx,3,51,6.969782,21.239460
algorithm_13kx,3,52,7.078434,21.863593
algorithm_13kx,3,53,7.010305,22.487470
algorithm_13kx,3,54,6.969985,23.122560
algorithm_13kx,3,55,7.026085,23.763843
algorithm_13kx,3,56,6.795434,24.411689
algorithm_13kx,3,57,7.035927,25.059240
algorithm_13kx,3,58,6.874915,25.773284
algorithm_13kx,3,59,7.057877,26.441894
algorithm_13kx,3,60,7.093674,27.201444
algorithm_13kx,3,61,7.106368,27.937895
algorithm_13kx,3,62,7.049677,28.628928
algorithm_13kx,3,63,7.020322,29.310283
algorithm_13kx,3,64,2.950562,30.070804
algorithm_13kx,3,65,6.937654,30.766799
algorithm_13kx,3,66,5.407532,31.491246
algorithm_13kx,3,67,7.063989,32.198732
algorithm_13kx,3,68,7.027347,32.910184
algorithm_13kx,3,69,5.787714,33.621514
algorithm_13kx,3,70,5.967818,34.654443
algorithm_13kx,3,71,5.844850,35.445055
algorithm_13kx,3,72,5.823402,36.196057
algorithm_13kx,3,73,6.067082,36.949458
algorithm_13kx,3,74,3.054737,37.708754
algorithm_13kx,3,75,5.781197,38.542088
algorithm_13kx,3,76,5.714923,39.362180
algorithm_13kx,3,77,5.752412,40.099994
algorithm_13kx,3,78,5.879560,40.845973
algorithm_13kx,3,79,5.756878,41.587643
algorithm_13kx,3,80,5.330505,42.343790
algorithm_13kx,3,81,5.511615,43.107236
algorithm_13kx,3,82,5.641846,43.871897
algorithm_13kx,3,83,5.581563,44.694756
algorithm_13kx,3,84,5.343457,45.518312
algorithm_13kx,3,85,4.632656,46.387025
algorithm_13kx,3,86,6.659213,47.178463
algorithm_13kx,3,87,6.955754,47.975441
algorithm_13kx,3,88,6.976919,48.788424
algorithm_13kx,3,89,7.034918,49.651106
algorithm_13kx,3,90,7.040433,50.545030
algorithm_13kx,3,91,7.175682,51.377260
algorithm_13kx,3,92,7.080834,52.203200
algorithm_13kx,3,93,5.642752,53.078544
algorithm_13kx,3,94,6.557529,53.949647
algorithm_13kx,3,95,6.599865,54.757658
algorithm_13kx,3,96,6.600308,55.630713
algorithm_13kx,3,97,6.640039,56.484123
algorithm_13kx,3,98,6.553570,57.356913
algorithm_13kx,3,99,6.679566,58.256424
algorithm_13kx,3,100,6.675198,59.217226
algorithm_13kx,3,101,6.537679,60.037234
algorithm_13ks,4,1,0.000000,0.000000
algorithm_13ks,4,2,16.865118,0.162780
algorithm_13ks,4,3,16.832578,0.322922
algorithm_13ks,4,4,16.931524,0.477303
algorithm_13ks,4,5,16.931524,0.639881
algorithm_13ks,4,6,16.869231,0.828836
